,x,y,u
299,0.97,0.02,-0.026534132606329683
300,0.98,0.02,-0.01909410216467751
301,0.99,0.02,-0.010147299710444566
302,1.0,0.02,0.0
303,0.0,0.03,0.0
304,0.01,0.03,0.012148263542517936
305,0.02,0.03,0.024272956519668133
306,0.03,0.03,0.036350559355279644
307,0.04,0.03,0.048357654337757676
308,0.05,0.03,0.0602709762687646
309,0.06,0.03,0.0720674627733126
310,0.07,0.03,0.08372430416129022
311,0.08,0.03,0.09521899273288677
312,0.09,0.03,0.1065293714233932
313,0.1,0.03,0.11763368168641589
314,0.11,0.03,0.12851061051861057
315,0.12,0.03,0.13913933653358132
316,0.13,0.03,0.14949957499754893
317,0.14,0.03,0.1595716217447109
318,0.15,0.03,0.16933639589582747
319,0.16,0.03,0.17877548130939264
320,0.17,0.03,0.18787116670069476
321,0.18,0.03,0.1966064843700465
322,0.19,0.03,0.20496524748734282
323,0.2,0.03,0.21293208588577656
324,0.21,0.03,0.22049248032287422
325,0.22,0.03,0.22763279517185936
326,0.23,0.03,0.23434030951057655
327,0.24,0.03,0.24060324657866414
328,0.25,0.03,0.2464108015762057
329,0.26,0.03,0.2517531677785867
330,0.27,0.03,0.25662156094261673
331,0.28,0.03,0.2610082419780465
332,0.29,0.03,0.26490653785635143
333,0.3,0.03,0.268310860725038
334,0.31,0.03,0.27121672519077794
335,0.32,0.03,0.2736207637284609
336,0.33,0.03,0.2755207401659145
337,0.34,0.03,0.27691556118578825
338,0.35,0.03,0.2778052857771924
339,0.36,0.03,0.27819113256049843
340,0.37,0.03,0.27807548489963296
341,0.38,0.03,0.27746189370773067
342,0.39,0.03,0.2763550778446576
343,0.4,0.03,0.27476092199923363
344,0.41,0.03,0.2726864719455198
345,0.42,0.03,0.270139927061841
346,0.43,0.03,0.26713063000377396
347,0.44,0.03,0.26366905342855884
348,0.45,0.03,0.2597667836786308
349,0.46,0.03,0.2554365013463867
350,0.47,0.03,0.25069195866097427
351,0.48,0.03,0.24554795366071264
352,0.49,0.03,0.24002030114145886
353,0.5,0.03,0.23412580040142483
354,0.51,0.03,0.2278821998360622
355,0.52,0.03,0.2213081584720133
356,0.53,0.03,0.21442320456601932
357,0.54,0.03,0.2072476914322913
358,0.55,0.03,0.19980275069939105
359,0.56,0.03,0.1921102432343763
360,0.57,0.03,0.18419270800716853
361,0.58,0.03,0.17607330920125905
362,0.59,0.03,0.16777578190759118
363,0.6,0.03,0.15932437676654546
364,0.61,0.03,0.1507438039484448
365,0.62,0.03,0.14205917688611944
366,0.63,0.03,0.1332959561943359
367,0.64,0.03,0.12447989423103545
368,0.65,0.03,0.11563698077534522
369,0.66,0.03,0.10679339031849297
370,0.67,0.03,0.09797543148761612
371,0.68,0.03,0.08920949915088162
372,0.69,0.03,0.08052202978754766
373,0.7,0.03,0.0719394607512604
374,0.71,0.03,0.06348819411220384
375,0.72,0.03,0.055194565837592045
376,0.73,0.03,0.04708482116524076
377,0.74,0.03,0.03918509714757577
378,0.75,0.03,0.03152141350104961
379,0.76,0.03,0.024119673098283237
380,0.77,0.03,0.017005673699907454
381,0.78,0.03,0.010205132856400798
382,0.79,0.03,0.0037437283385430686
383,0.8,0.03,-0.0023528429937319964
384,0.81,0.03,-0.008058784264127926
385,0.82,0.03,-0.013348091058864009
386,0.83,0.03,-0.018194411596968118
387,0.84,0.03,-0.022570867365574433
388,0.85,0.03,-0.02644982507604305
389,0.86,0.03,-0.02980260841717423
390,0.87,0.03,-0.032599135261699566
391,0.88,0.03,-0.03480746296761402
392,0.89,0.03,-0.03639322203553956
393,0.9,0.03,-0.03731891890602468
394,0.91,0.03,-0.03754309786619861
395,0.92,0.03,-0.03701938404462358
396,0.93,0.03,-0.035695518587889954
397,0.94,0.03,-0.03351272524055205
398,0.95,0.03,-0.030406305879695783
399,0.96,0.03,-0.02630967454606055
400,0.97,0.03,-0.021166931776736946
401,0.98,0.03,-0.014964642566411132
402,0.99,0.03,-0.0078005854756446336
403,1.0,0.03,0.0
404,0.0,0.04,0.0
405,0.01,0.04,0.0117361973627646
406,0.02,0.04,0.023449881717595003
407,0.03,0.04,0.03511858835145844
408,0.04,0.04,0.046719949032816205
409,0.05,0.04,0.05823173998271646
410,0.06,0.04,0.06963192952403861
411,0.07,0.04,0.08089872530448936
412,0.08,0.04,0.09201062099139132
413,0.09,0.04,0.10294644233932561
414,0.1,0.04,0.113685392535256
415,0.11,0.04,0.12420709672985117
416,0.12,0.04,0.13449164566828994
417,0.13,0.04,0.1445196383388339
418,0.14,0.04,0.15427222356283024
419,0.15,0.04,0.1637311404554947
420,0.16,0.04,0.17287875769274633
421,0.17,0.04,0.18169811152542656
422,0.18,0.04,0.19017294248834749
423,0.19,0.04,0.19828773075764353
424,0.2,0.04,0.20602773011574144
425,0.21,0.04,0.2133790004887677
426,0.22,0.04,0.22032843902622892
427,0.23,0.04,0.22686380969718406
428,0.24,0.04,0.23297377138071348
429,0.25,0.04,0.23864790443110873
430,0.26,0.04,0.2438767356997238
431,0.27,0.04,0.24865176199568245
432,0.28,0.04,0.2529654719665133
433,0.29,0.04,0.25681136637719176
434,0.3,0.04,0.2601839767619529
435,0.31,0.04,0.26307888241759014
436,0.32,0.04,0.26549272569984544
437,0.33,0.04,0.2674232255760242
438,0.34,0.04,0.26886918937737037
439,0.35,0.04,0.26983052268426105
440,0.36,0.04,0.2703082372663239
441,0.37,0.04,0.27030445698856714
442,0.38,0.04,0.26982242158408254
443,0.39,0.04,0.2688664881843957
444,0.4,0.04,0.2674421304907339
445,0.41,0.04,0.26555593546397926
446,0.42,0.04,0.2632155974085017
447,0.43,0.04,0.2604299093260124
